"ITERATION","YEN","YEN_VAL","YEN_PRICE","USD","USD_VAL","USD_PRICE","YUAN","YUAN_VAL","YUAN_PRICE","EUR","EUR_VAL","MEAN","MEAN_THRESHOLD",
"1","1000000","1","6963,0605","1000000","1","965474,56","1000000","1","135871,4","1000000","1","527077,25","263538,63",
"2","1000000","1","6963,0605","1000000","1","965474,56","1000000","1","135871,4","1000000","1","527077,25","263538,63",
"3","1000000","1","6963,0605","1000000","1","965474,56","993339,4","1","134966,42","1000952,06","1","527089","263544,5",
"4","1000000","1","6963,0605","1000000","1","965474,56","993339,4","1,0022302","135267,42","1000952,06","1","527164,25","263582,13",
"5","1000000","1","6963,0605","1000000","1","965474,56","993339,4","1,0067053","135871,4","1000952,06","1","527315,25","263657,63",
"6","905527,44","1","6305,2427","1000000","1","965474,56","993339,4","1,0022302","135267,42","1001668,44","1","527178,94","263589,47",
"7","905527,44","1,0336324","6517,3027","1000000","1","965474,56","993339,4","1,0022302","135267,42","1001668,44","1","527231,94","263615,97",
"8","905527,44","1,1043288","6963,0605","1000000","1","965474,56","993339,4","1,0067053","135871,4","1001668,44","1","527494,4","263747,2",
"9","905527,44","1,0336324","6517,3027","1000000","1","965474,56","898272,3","1,0022302","122321,72","1014942,4","1","527314","263657",
"10","905527,44","1,0336324","6517,3027","1000000","0,9999999","965474,44","898272,3","1,0364077","126493,07","1014942,4","1","528356,8","264178,4",
"11","905527,44","1,1043288","6963,0605","1000000","0,9999999","965474,44","898272,3","1,1132481","135871,4","1014942,4","1","530812,8","265406,4",
"12","905527,44","1,1043288","6963,0605","1000000","0,9999999","965474,44","898272,3","1,1132481","135871,4","1014942,4","1","530812,8","265406,4",
"13","905527,44","1,0336324","6517,3027","1000000","0,9999999","965474,44","810750,8","1,0364077","114168,45","1028532,56","1","528673,2","264336,6",
"14","905527,44","1,0336324","6517,3027","1000000","0,9999999","965474,44","810750,8","1,0724348","118137,12","1028532,56","1","529665,4","264832,7",
"15","905527,44","1,0336324","6517,3027","1000000","0,9999999","965474,44","758229,3","1,0724348","110484,04","1036659,4","1","529783,75","264891,88",
"16","905527,44","1,0336324","6517,3027","1000000","0,9999999","965474,44","758229,3","1,0966461","112978,33","1036659,4","1","530407,4","265203,7",
"17","905527,44","1,1043288","6963,0605","1000000","0,9999999","965474,44","758229,3","1,3188622","135871,4","1036659,4","1","536242,06","268121,03",
"18","905527,44","1,0336324","6517,3027","1000000","0,9999999","965474,44","758229,3","1,0966461","112978,33","1036681,5","1","530412,9","265206,44",
"19","905527,44","1,0336324","6517,3027","1000000","0,99999976","965474,4","758229,3","1,0966461","112978,33","1036681,5","1","530412,9","265206,44",
"20","813372,6","1,0336324","5854,0425","1000000","0,99999976","965474,4","758229,3","1,0966461","112978,33","1037373,1","1","530420","265210",
"21","813372,6","1,0712812","6067,2686","1000000","0,99999976","965474,4","758229,3","1,0966461","112978,33","1037373,1","1","530473,25","265236,63",
"22","813372,6","1,2294487","6963,06","1000000","0,99999976","965474,4","758229,3","1,3188622","135871,4","1037373,1","1","536420,5","268210,25",
"23","765959,3","1,0712812","5713,5938","1000000","0,99999976","965474,4","758229,3","1,0966461","112978,33","1037817,06","1","530495,9","265247,94",
"24","765959,3","1,0929444","5829,133","1000000","0,99999976","965474,4","758229,3","1,0966461","112978,33","1037817,06","1","530524,75","265262,38",
"25","765959,3","1,3055522","6963,06","1000000","0,99999976","965474,4","758229,3","1,3188622","135871,4","1037817,06","1","536531,5","268265,75",
"26","765959,3","1,0929444","5829,133","1000000","0,99999976","965474,4","758229,3","1,0966461","112978,33","1042757,6","1","531759,9","265879,94",
"27","765959,3","1,0929444","5829,133","1000000","0,99999976","965474,4","758229,3","1,0966461","112978,33","1042757,6","1","531759,9","265879,94",
"28","765959,3","1,3055522","6963,06","1000000","0,99999976","965474,4","758229,3","1,3188622","135871,4","1042757,6","1","537766,6","268883,3",
"29","765959,3","1,3055522","6963,06","1000000","0,99999976","965474,4","758229,3","1,3188622","135871,4","1042757,6","1","537766,6","268883,3",
"30","765959,3","1,0929444","5829,133","1000000","0,99999976","965474,4","758229,3","1,0966461","112978,33","1042968,9","1","531812,7","265906,34",
"31","765959,3","1,0929444","5829,133","1000000","0,99999964","965474,25","758229,3","1,096646","112978,32","1042968,9","1","531812,6","265906,3",
"32","765959,3","1,3055522","6963,06","1000000","0,99999964","965474,25","758229,3","1,3188621","135871,39","1042968,9","1","537819,4","268909,7",
"33","765959,3","1,3055522","6963,06","1000000","0,99999964","965474,25","758229,3","1,3188621","135871,39","1042968,9","1","537819,4","268909,7",
"34","765959,3","1,0929444","5829,133","1000000","0,99999964","965474,25","761138,2","1,096646","113411,75","1042472,44","1","531796,9","265898,44",
"35","765959,3","1,0929444","5829,133","1000000","0,99999964","965474,25","761138,2","1,0952471","113267,086","1042472,44","1","531760,75","265880,38",
"36","765959,3","1,305552","6963,0586","1000000","0,99999964","965474,25","761138,2","1,3138217","135871,39","1042472,44","1","537695,3","268847,66",
"37","765959,3","1,0929444","5829,133","1000000","0,99999964","965474,25","820361,9","1,0952471","122080,33","1032736,3","1","531530","265765",
"38","765959,3","1,0929444","5829,133","1000000","0,99999964","965474,25","820361,9","1,0682302","119068,914","1032736,3","1","530777,1","265388,56",
